id,production_location,production_location2,sale_location,sale_location2,types_of_sampling,food_category,adulterant_category,adulterant,food_specifications_model_list,mandate_level,manufacturer_type,sampled_location_type,grade
7483,江苏省,无锡市,江苏省,无锡市,Same Place,"edible oil, fat and their product",Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
8142,广东省,云浮市,广东省,江门市,Off-site,fruit and fruit product,Food additive,甜蜜素,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
8853,甘肃省,酒泉市,甘肃省,酒泉市,Same Place,vegetable and vegetable product,Specification,霉菌;水分;总灰分,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
3165,四川省,成都市,四川省,成都市,Same Place,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
6916,广东省,广州市,广东省,广州市,Same Place,nut and nut product,Specification,过氧化值,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
834,河南省,南阳市,河南省,南阳市,Same Place,alcohol,Specification,酒精度,Pre-packaged,Nationally Mandated,manufacturer,other supermarket/convenience store,0
1870,江西省,吉安市,江西省,吉安市,Same Place,meat and meat product,Environmental contaminant,铬,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
4191,湖南省,娄底市,湖南省,邵阳市,Off-site,pastry,Specification,酸价;过氧化值;脱氢乙酸,Pre-packaged,Provincially Mandated,manufacturer,wholesale/retail,0
6418,湖北省,孝感市,湖北省,孝感市,Same Place,condiment,Specification,总酸,Pre-packaged,Nationally Mandated,manufacturer,manufacturer,0
6301,河北省,沧州市,海南省,三亚市,Off-site,condiment,Environmental contaminant,铅,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
2006,宁夏回族自治区,银川市,宁夏回族自治区,银川市,Same Place,meat and meat product,Microbial contamination,菌落总数,Pre-packaged,Nationally Mandated,restaurant,restaurant,0
6810,山东省,临沂市,广东省,东莞市,Off-site,nut and nut product,Specification,过氧化值,Bulk weighing,Provincially Mandated,manufacturer,wholesale market,0
5484,安徽省,淮北市,广东省,江门市,Off-site,sugar,Specification,色值,Pre-packaged,Provincially Mandated,manufacturer,manufacturer,0
2726,河南省,周口市,河南省,焦作市,Off-site,convenience food,Microbial contamination,菌落总数,Pre-packaged,Provincially Mandated,manufacturer,other supermarket/convenience store,0
3186,河南省,新乡市,河南省,南阳市,Off-site,pastry,Food additive,防腐剂混合使用时各自用量占其最大使用量比例之和,Bulk weighing,Provincially Mandated,manufacturer,other supermarket/convenience store,0
